 #--- Initial_population -----------------------------
     Omega        hs        n         ec0       alpha     beta      rat_ed    rat_ei
     35.33      4.27      0.29      0.88      0.21      1.37      1.11      0.57
     30.85      4.33      0.25      1.02      0.18      1.51      1.17      0.58
     36.18      4.83      0.26      0.83      0.20      1.55      1.20      0.57
     33.05      4.73      0.25      0.85      0.22      1.23      1.17      0.58
     35.85      2.74      0.25      1.05      0.09      1.26      1.25      0.58
     35.85      3.54      0.28      0.91      0.15      1.76      1.09      0.53
     32.73      3.35      0.32      0.98      0.16      1.18      1.12      0.55
     35.66      7.21      0.28      0.96      0.17      1.02      1.20      0.56
     32.15      1.17      0.28      0.99      0.20      1.79      1.22      0.57
     30.55      6.31      0.23      0.93      0.21      1.68      1.12      0.56
     37.09      6.71      0.28      0.84      0.16      1.48      1.17      0.57
     37.57      5.57      0.24      0.85      0.26      1.75      1.21      0.54
     38.85      4.37      0.23      0.87      0.21      1.77      1.20      0.59
     33.59      3.83      0.32      0.92      0.18      1.30      1.18      0.55
     34.08      6.07      0.23      1.04      0.09      1.38      1.13      0.57
     32.91      1.70      0.26      0.95      0.16      1.45      1.14      0.56
     35.07      2.21      0.27      0.85      0.24      1.60      1.09      0.58
     32.92      3.04      0.28      1.04      0.14      1.53      1.16      0.57
     36.98      5.74      0.23      0.87      0.19      1.35      1.23      0.56
     35.75      4.41      0.24      0.91      0.14      1.38      1.16      0.57
     36.45      4.11      0.21      1.00      0.23      1.12      1.26      0.57
     30.28      4.76      0.22      0.97      0.24      1.59      1.10      0.55
     35.23      2.94      0.27      1.04      0.14      1.46      1.19      0.55
     35.79      5.39      0.29      0.94      0.19      1.21      1.17      0.56
     33.88      2.87      0.31      0.84      0.21      1.53      1.17      0.54
     36.35      6.45      0.29      0.93      0.08      1.57      1.22      0.59
     29.12      3.43      0.23      1.06      0.18      1.28      1.20      0.56
     34.92      3.14      0.23      1.01      0.25      1.59      1.14      0.53
     30.63      4.46      0.21      0.98      0.27      1.56      1.18      0.58
     32.24      2.91      0.30      0.93      0.25      1.74      1.09      0.57
     33.63      1.62      0.25      1.05      0.10      1.21      1.23      0.57
     32.26      5.48      0.23      0.92      0.16      1.51      1.21      0.58
     37.84      2.46      0.25      1.02      0.12      1.63      1.18      0.56
     35.62      1.62      0.31      0.96      0.15      1.84      1.18      0.57
     35.21      4.10      0.28      0.95      0.17      1.36      1.23      0.55
     31.70      2.56      0.29      1.00      0.15      1.39      1.15      0.54
     30.24      2.99      0.23      0.99      0.22      1.16      1.08      0.55
     36.68      5.10      0.31      0.92      0.08      1.56      1.21      0.57
     35.58      4.13      0.23      0.93      0.27      1.28      1.10      0.55
     36.63      4.28      0.24      1.00      0.09      1.27      1.12      0.58
     34.88      2.94      0.25      0.95      0.18      1.16      1.22      0.56
     30.68      4.00      0.28      0.91      0.26      1.49      1.20      0.57
     34.15      6.04      0.30      0.83      0.25      1.59      1.17      0.54
     32.96      2.19      0.30      0.89      0.16      1.14      1.14      0.55
     35.07      6.71      0.29      0.93      0.13      1.43      1.14      0.59
     36.11      4.32      0.25      0.98      0.17      1.30      1.12      0.55
     32.76      1.17      0.24      0.98      0.14      1.39      1.24      0.56
     27.38      7.16      0.24      1.00      0.21      1.45      1.18      0.54
     35.00      4.96      0.27      0.83      0.21      1.70      1.15      0.55
     33.19      1.58      0.30      0.96      0.15      1.34      1.10      0.58
     33.36      4.30      0.29      0.97      0.19      1.67      1.16      0.58
     36.15      2.82      0.27      0.91      0.15      1.61      1.12      0.58
     34.92      3.40      0.30      1.04      0.09      1.83      1.10      0.58
     33.46      2.97      0.28      0.89      0.15      1.42      1.12      0.55
     37.80      4.43      0.22      1.00      0.16      1.16      1.11      0.58
     35.22      4.80      0.25      0.86      0.16      1.35      1.27      0.56
     29.43      4.00      0.26      0.92      0.10      1.40      1.12      0.57
     34.46      6.40      0.26      1.02      0.21      1.68      1.17      0.57
     33.94      3.04      0.27      0.94      0.15      1.26      1.17      0.57
     36.59      5.14      0.29      0.91      0.12      1.15      1.12      0.58
     36.32      1.91      0.36      0.92      0.10      1.06      1.17      0.55
     38.54      3.23      0.25      0.94      0.27      1.18      1.26      0.54
     36.40      3.85      0.23      1.04      0.15      1.61      1.11      0.56
     33.54      5.50      0.20      0.96      0.17      1.58      1.14      0.58
     34.66      4.27      0.26      0.94      0.25      1.40      1.14      0.57
     32.13      7.74      0.25      0.89      0.23      1.66      1.18      0.58
     32.32      7.81      0.27      0.84      0.21      1.40      1.14      0.55
     34.62      2.48      0.31      0.94      0.15      1.68      1.16      0.56
     34.88      4.03      0.25      0.91      0.18      1.67      1.14      0.56
     35.44      3.42      0.27      1.00      0.18      1.56      1.24      0.57
     33.92      6.05      0.27      0.83      0.17      1.33      1.12      0.58
     35.95      2.92      0.26      0.93      0.14      1.51      1.19      0.58
     33.30      2.13      0.25      0.88      0.20      1.41      1.20      0.54
     31.93      7.00      0.28      0.83      0.26      1.63      1.09      0.54
     33.77      3.22      0.28      0.99      0.16      1.66      1.15      0.56
     35.39      3.93      0.34      0.92      0.21      1.61      1.12      0.55
     36.85      4.53      0.28      0.91      0.17      1.94      1.25      0.56
     36.35      6.45      0.29      0.93      0.08      1.57      1.22      0.59
     36.88      6.71      0.22      0.94      0.12      1.26      1.28      0.56
     31.36      6.07      0.26      0.93      0.25      1.67      1.13      0.54
     28.37      4.74      0.25      0.96      0.22      1.61      1.09      0.57
     32.23      2.64      0.28      0.91      0.13      1.40      1.10      0.59
     31.84      7.49      0.23      0.88      0.20      1.02      1.17      0.58
     32.97      2.96      0.24      0.93      0.12      1.37      1.18      0.53
     34.51      3.86      0.29      1.01      0.09      1.25      1.26      0.57
     35.25      5.29      0.25      0.88      0.25      1.26      1.14      0.58
     31.30      1.29      0.26      0.98      0.16      1.73      1.19      0.57
     32.82      4.79      0.28      0.98      0.20      1.31      1.17      0.55
     32.04      5.44      0.27      0.91      0.25      1.55      1.22      0.55
     32.74      6.57      0.27      0.98      0.22      1.26      1.12      0.55
     36.63      5.94      0.26      0.90      0.18      1.25      1.18      0.54
     32.46      3.48      0.29      0.92      0.24      1.28      1.13      0.59
     31.82      5.33      0.27      0.85      0.15      1.36      1.14      0.54
     33.88      4.36      0.24      0.91      0.17      1.31      1.21      0.58
     34.16      3.74      0.28      0.92      0.15      1.71      1.17      0.57
     33.35      1.92      0.30      0.91      0.24      1.54      1.21      0.57
     34.75      4.74      0.24      0.89      0.25      1.37      1.13      0.55
     34.19      1.76      0.30      0.92      0.16      1.60      1.17      0.54
     32.51      5.51      0.28      0.94      0.10      1.58      1.22      0.59
     38.88      5.82      0.22      0.89      0.17      1.35      1.22      0.56
     35.78      6.09      0.27      0.99      0.10      1.13      1.18      0.56
     33.22      1.11      0.25      1.08      0.19      1.33      1.09      0.58
     31.83      1.20      0.31      0.92      0.21      1.16      1.13      0.56
     34.32      3.31      0.26      0.91      0.23      1.33      1.17      0.56
     34.09      2.37      0.26      1.02      0.22      1.36      1.18      0.55
     34.22      3.38      0.31      0.90      0.27      1.48      1.14      0.54
     33.39      1.47      0.28      1.00      0.18      1.21      1.08      0.55
     35.41      3.33      0.22      0.94      0.27      1.44      1.26      0.55
     26.22      6.29      0.21      1.03      0.18      1.05      1.18      0.55
     31.33      2.48      0.26      0.91      0.22      1.80      1.19      0.56
     34.46      4.25      0.29      0.95      0.15      1.57      1.22      0.57
     35.62      3.83      0.27      1.02      0.16      1.35      1.16      0.54
     39.17      1.99      0.26      0.99      0.19      1.38      1.09      0.56
     37.16      2.19      0.26      0.88      0.19      1.48      1.24      0.56
     34.55      6.82      0.24      0.89      0.23      1.49      1.13      0.54
     35.02      1.48      0.26      1.05      0.20      1.60      1.08      0.55
     33.70      2.34      0.26      0.90      0.21      1.63      1.13      0.57
     34.50      5.81      0.23      0.89      0.11      1.45      1.27      0.58
     35.74      4.09      0.26      0.91      0.18      1.55      1.18      0.57
     33.47      3.28      0.27      1.04      0.14      1.35      1.17      0.57
     36.06      4.77      0.22      0.97      0.09      1.55      1.11      0.57
     31.14      2.90      0.22      0.99      0.15      1.13      1.12      0.55
     37.32      2.97      0.25      0.99      0.14      1.37      1.22      0.56
     31.35      3.25      0.24      0.90      0.22      1.59      1.11      0.56
     36.02      3.12      0.25      0.94      0.16      1.25      1.26      0.55
